0000708D;0001277406;SPIRIT FINANCE CORP;Spirit Finance Corp/Old
0047042D;0000928950;CHASE INDUSTRIES LLC;Chase Industries LLC
0062761Q;0000805419;SIZELER PROPERTY INVESTORS;Sizeler Property Investors Inc
0088043Q;0000277158;SEMCO ENERGY INC;SEMCO Energy Inc
0091156Q;0000919870;C-CUBE MICROSYSTEMS INC;C-Cube Microsystems Inc
0096537Q;0000912842;APPLIED SCIENCE & TECHNOLOGY;Applied Science & Technology I
0111145D;0000072020;NICOR INC;Nicor Inc
0114055D;0000895364;DUANE READE INC;Duane Reade Inc
0118113D;0001500128;GGP-TRC LLC;GGP-TRC LLC
0118185D;0000060086;LOEWS CORP - CAROLINA GROUP;Loews Corp - Carolina Group
0118440Q;0001120438;THIRD WAVE TECHNOLOGIES;Third Wave Technologies Inc
0120599D;0000930095;EDEN BIOSCIENCE CORP;Eden Bioscience Corp
0127834Q;0000726512;SCIOS INC;Scios Inc
0154604D;0001073208;FBR ASSET INVESTMENT CORP;FBR Asset Investment Corp
0167866D;0001059324;PETROHAWK ENERGY CORP;Petrohawk Energy Corp
0202445Q;0000066479;EMD MILLIPORE CORP;EMD Millipore Corp
0203524D;0000070530;NATIONAL SEMICONDUCTOR CORP;National Semiconductor Corp
0206450D;0000795665;METAL MANAGEMENT INC;Metal Management Inc
0212710D;0001310663;K&F INDUSTRIES HOLDINGS INC;K&F Industries Holdings Inc
0214206D;0000944948;TARRANT APPAREL GROUP;Tarrant Apparel Group
0226226D;0000018532;CENTEX LLC;Centex LLC
0231874D;0000740670;MICHAELS STORES INC;Michaels Stores Inc/Old
0246600Q;0000921746;BANCORP CONNECTICUT INC;Bancorp Connecticut Inc
0250593Q;0000921768;BANKATLANTIC BANCORP INC-B;BBX Capital Corp /Old
0255767Q;0000899240;SUNGLASS HUT INTL;Sunglass Hut International Inc
0278048Q;0001012123;RENAISSANCE WORLDWIDE INC;Renaissance Worldwide Inc
0282517D;0001063527;AUGUST TECHNOLOGY CORP;August Technology Corp
0313624D;0001360555;STANLEY INC;Stanley Inc
0356428Q;0001013149;ICT GROUP INC;ICT Group Inc
0376152D;0000351145;INTERGRAPH CORP;Intergraph Corp
0379754Q;0001016006;CLOSURE MEDICAL CORP;Closure Medical Corp
0480013D;0000743532;ALFA CORPORATION;Alfa Corp
0536271D;0001097313;GRANT PRIDECO INC;Grant Prideco Inc
0542356D;0000882194;MATRIX PHARMACEUTICAL INC;Matrix Pharmaceuticals Inc
0543122D;0001139650;ALTIRIS INC;Altiris Inc
0544369D;0000927914;ALDERWOODS GROUP INC;Alderwoods Group Inc
0544749D;0001141185;KERR-MCGEE CORP;Kerr-McGee Corp
0544801D;0000878280;RUSSELL HOBBS INC;Russell Hobbs Inc
0554877D;0001104172;TRAVELOCITY.COM INC;Travelocity.com Inc
0556728D;0001057217;COGENICS ICORIA INC;Cogenics Icoria Inc
0559548D;0001091621;MEDIAPLEX INC;Mediaplex Inc
0561286D;0001138812;COTHERIX INC;CoTherix Inc
0562526D;0000771790;STEEL TECHNOLOGIES INC;Steel Technologies Inc
0564535D;0000908440;MANUGISTICS GROUP INC;Manugistics Group Inc
0574018D;0001156826;ARCHSTONE-SMITH TRUST;Archstone-Smith Trust
0574397D;0000715577;BURR-BROWN CORP;Burr-Brown International Holdi
0583224D;0001077009;AUTOWEB.COM INC;Autoweb.com Inc
0599211D;0000910032;COMMSCOPE DSL SYSTEMS LLC;Commscope DSL Systems LLC
0601151D;0000755199;TRANSMONTAIGNE LLC;TransMontaigne LLC
0612541D;0001054930;INTERCEPT INC;InterCept Inc
0615140D;0000084244;ROLLINS TRUCK LEASING CORP;Rollins Truck Leasing Corp
0615890D;0001002607;ATARI INC;Atari Inc
0616531D;0000807873;SICOR INC/PA;SICOR Inc/PA
0616747D;0000894972;AMFM INC;AMFM Inc
0618171D;0001054131;TURNSTONE SYSTEMS INC;Turnstone Systems Inc
0618828D;0001437578;BRIGHT HORIZONS FAMILY SOLUT;Bright Horizons Family Solutio
0623514D;0001101723;UNITED SURGICAL PARTNERS INT;United Surgical Partners Inter
0625767D;0000915735;STRATASYS INC;Stratasys Inc
0687288D;0000914923;ANCHOR GAMING;Anchor Gaming
0696844D;0000814580;ADVANCED MARKETING SERVICES;Advanced Marketing Services In
0698365D;0001086384;TANNING TECHNOLOGY CORP;Tanning Technology Corp
0700031D;0000745026;NS GROUP INC;NS Group Inc
0700161D;0000914536;SFN GROUP INC;SFN Group Inc
0700610D;0000948545;TALK AMERICA HOLDINGS INC;Talk America Holdings Inc
0700734D;0000897509;FLAG FINANCIAL CORP;Flag Financial Corp
0747730D;0000910058;DETROIT DIESEL CORP;Detroit Diesel Corp
0758969D;0001084573;ENGAGE INC;Engage Inc
