ONB;0000707179;OLD NATIONAL BANCORP;Old National Bancorp/IN
ONCE;0001609351;SPARK THERAPEUTICS INC;Spark Therapeutics Inc
ONDK;0001420811;ON DECK CAPITAL INC;On Deck Capital Inc
ONVO;0001497253;ORGANOVO HOLDINGS INC;Organovo Holdings Inc
OOMA;0001327688;OOMA INC;Ooma Inc
OPB;0001697463;OPUS BANK;Opus Bank
OPK;0000944809;OPKO HEALTH INC;OPKO Health Inc
OPOF;0000740971;OLD POINT FINANCIAL CORP;Old Point Financial Corp
OPTN;0001494650;OPTINOSE INC;Optinose Inc
OPY;0000791963;OPPENHEIMER HOLDINGS-CL A;Oppenheimer Holdings Inc
ORA;0001296445;ORMAT TECHNOLOGIES INC;Ormat Technologies Inc
ORBC;0001361983;ORBCOMM INC;ORBCOMM Inc
ORC;0001518621;ORCHID ISLAND CAPITAL INC;Orchid Island Capital Inc
ORCL;0001341439;ORACLE CORP;Oracle Corp
ORI;0000074260;OLD REPUBLIC INTL CORP;Old Republic International Cor
ORIT;0001483195;ORITANI FINANCIAL CORP;Oritani Financial Corp
ORLY;0000898173;O'REILLY AUTOMOTIVE INC;O'Reilly Automotive Inc
ORM;0001556364;OWENS REALTY MORTGAGE INC;Owens Realty Mortgage Inc
ORN;0001402829;ORION GROUP HOLDINGS INC;Orion Group Holdings Inc
ORRF;0000826154;ORRSTOWN FINL SERVICES INC;Orrstown Financial Services In
OSBC;0000357173;OLD SECOND BANCORP INC;Old Second Bancorp Inc
OSG;0000075208;OVERSEAS SHIPHOLDING GROUP-A;Overseas Shipholding Group Inc
OSIS;0001039065;OSI SYSTEMS INC;OSI Systems Inc
OSK;0000775158;OSHKOSH CORP;Oshkosh Corp
OSTK;0001130713;OVERSTOCK.COM INC;Overstock.com Inc
OSUR;0001116463;ORASURE TECHNOLOGIES INC;OraSure Technologies Inc
OTIC;0001493566;OTONOMY INC;Otonomy Inc
OTTR;0001466593;OTTER TAIL CORP;Otter Tail Corp
